Generation,Rep,MeanMale,MeanFemale,MeanRSC,MeanCount,cor
1,1,3.34003310862067,-3.743124194378923,3.8,0.5805669555330951,0.031358360649719176
2,1,1.4170637311537289,-2.9612477562271566,4.44,-0.6473397540258737,-0.00951581721191965
3,1,0.9840515593434563,-2.911885298498819,5.4,-0.21726243722452637,-0.19559361363316902
4,1,-1.0366903288731437,-3.5747333345057597,4.12,-0.865875900256874,-0.018648827662102727
5,1,-1.6445319901132671,-2.5933403206373753,5.14,1.1832746320164325,-0.08786553430874708
6,1,-2.1009662938007896,-3.113614062288101,4.7,-0.48887157286759847,0.12495404593575944
7,1,-1.79246637129,-3.0034455226403893,5.82,0.3799886647622314,0.052852495591933536
8,1,-0.6655962259320036,-3.806711781772957,5.48,-0.9597781122510693,0.009756133292772043
9,1,-3.237461793975435,-4.0710808117752615,5.62,-3.22712151128311,-0.02793295561593453
10,1,-4.658878111472199,-4.857617783274446,5.88,-2.574731307973392,0.2687852378819275
11,1,-4.905250796347467,-5.102507517966055,5.9,-2.2282239823311123,0.12506381520262863
12,1,-4.3374731245922105,-5.137460981300203,5.62,-2.60542773836969,-0.15047960130428445
13,1,-3.8852786996039526,-5.644106261935085,5.68,-2.46996042309822,0.22794897789784138
14,1,-7.056181318977212,-6.157265259973986,5.56,-3.9125924441439084,-0.06419119457224867
15,1,-5.682598314489021,-6.624372759359421,5.08,-3.7118712093271524,-0.11034313517997484
16,1,-6.829013064504563,-9.034372699746072,5.22,-2.918926402180156,-0.02679725550564696
17,1,-6.707829795183251,-8.447377085464787,5.48,-1.1377395483039086,0.3132925885750991
18,1,-7.50670830448689,-8.844440132351219,6.08,-3.523731347309227,0.014664670654971946
19,1,-8.294848178447358,-9.5816817750984,6.12,-0.8267948349146914,-0.10874885443558906
20,1,-9.379586264610808,-9.948241353899004,5.18,-1.9303442367229875,-0.14856948501086448
21,1,-11.24104100486442,-9.315358487203092,6.16,-0.9803521660427722,-0.10468578959477186
22,1,-11.025321934573485,-8.452976726263998,6.08,-3.395988778628915,0.08672405611239133
23,1,-8.898592685721805,-10.713193250092532,5.64,-4.047356517824437,0.14806648135908843
24,1,-9.29168659692898,-9.121309404924645,5.66,-4.419807296279807,-0.01886287874038755
25,1,-11.022679377571908,-10.94637986859242,5.3,-4.522600349966774,0.11396353317755678
26,1,-10.887474523976078,-12.888740560228143,5.02,-7.415984885382957,0.13257423494122372
27,1,-11.081275312834002,-13.158963531031759,4.74,-5.546506081359121,-0.035271327783556926
28,1,-13.098681784324535,-12.01038522609967,4.9,-5.8040935451066025,0.0017520577262991382
29,1,-11.414085032487305,-10.428036796698125,4.86,-5.744532431557889,0.13689243135902948
30,1,-10.974610300354648,-11.540934719796088,5.06,-6.592869625597324,-0.1725732340848592
